fold_train_end,fold_val_end,fold_test_end,train_dates,val_dates,test_dates,train_samples,val_samples,test_samples,best_epoch,best_val_auc,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_strategy_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,val_strategy_sharpe,val_strategy_max_drawdown,test_strategy_sharpe,test_strategy_cumulative_return,test_strategy_max_drawdown,fold_idx,model,setting,feature_count
2025-06-26,2025-08-22,2025-10-20,120,40,40,2722,540,400,12,0.5883721938738634,0.5883721938738634,0.713903743315508,0.49385395961920703,0.6591337099811676,threshold,0,0.5,0.52,True,5.040923448846147,-0.01736547529189214,4.415316919316957,0.06334247462702813,-0.009442060030833921,1,transformer,no_fundamentals,48
2025-07-25,2025-09-22,2025-11-17,120,40,40,2562,740,400,12,0.5762962962962963,0.5762962962962963,0.6869300911854104,0.5535138378459461,0.6403162055335968,threshold,0,0.5,0.6,True,4.437679380259789,-0.031348488531498186,0.004891594582091235,-0.002685212672456805,-0.06099962382941171,2,transformer,no_fundamentals,48
2025-08-22,2025-10-20,2025-12-16,120,40,40,2380,940,400,12,0.580079271873165,0.580079271873165,0.6259259259259259,0.5046,0.45325779036827196,threshold,0,0.5,0.58,True,1.5031517706391901,-0.05604484992646308,0.6014974037936959,0.016973009619745794,-0.05604484992646297,3,transformer,no_fundamentals,48
2025-09-22,2025-11-17,2026-01-15,120,40,40,2180,1040,500,12,0.5502957483396584,0.5502957483396584,0.683477106834771,0.6189699035184563,0.6695156695156695,threshold,0,0.5,0.52,True,2.0676741048009357,-0.024751194777044017,2.603800723732634,0.05302097511161952,-0.014549729602854167,4,transformer,no_fundamentals,48
2025-10-20,2025-12-16,2026-02-13,120,40,40,1980,1040,700,10,0.5509965872583568,0.5509965872583568,0.6555956678700361,0.6231342978082349,0.6558044806517311,threshold,0,0.5,0.6,True,2.8034670431302526,-0.017183894797442978,1.0362915769148782,0.016362232390173093,-0.030007182221696294,5,transformer,no_fundamentals,48
2025-11-17,2026-01-15,2026-03-16,120,40,40,1780,1040,900,12,0.599317360460447,0.599317360460447,0.649458784346378,0.6181514454134367,0.6032608695652174,threshold,0,0.5,0.56,True,2.6013263287040513,-0.028561414345193437,-1.6096128284701525,-0.01608386648556359,-0.02759649093168126,6,transformer,no_fundamentals,48
2025-06-26,2025-08-22,2025-10-20,120,40,40,2722,540,400,12,0.5905693924456843,0.5905693924456843,0.7291666666666666,0.504498378491474,0.7058823529411765,threshold,0,0.5,0.5,True,5.930361087740358,-0.012057627375014812,4.2457142999085455,0.07194554405126863,-0.01511597301174139,1,transformer,with_fundamentals,54
2025-07-25,2025-09-22,2025-11-17,120,40,40,2562,740,400,1,0.5543394140409066,0.5543394140409066,0.7015329125338142,0.5780894522363059,0.671280276816609,topk,1,0.5,0.5,True,3.671445438997485,-0.032859994216812405,0.733067902607799,0.03628792524662616,-0.10858371096436137,2,transformer,with_fundamentals,54
2025-08-22,2025-10-20,2025-12-16,120,40,40,2380,940,400,12,0.5375394524368761,0.5375394524368761,0.6246672582076309,0.45945,0.507177033492823,topk,2,0.58,0.5,True,1.0208861355301648,-0.07435812368982753,0.39768025885227926,0.013125622588613162,-0.07435812368982742,3,transformer,with_fundamentals,54
2025-09-22,2025-11-17,2026-01-15,120,40,40,2180,1040,500,12,0.538680769686907,0.538680769686907,0.6728971962616822,0.6163458615337846,0.6646433990895296,threshold,0,0.5,0.56,True,2.0417855445265842,-0.020433496270689355,1.9944718086236446,0.041768660911334354,-0.01483368889517378,4,transformer,with_fundamentals,54
2025-10-20,2025-12-16,2026-02-13,120,40,40,1980,1040,700,12,0.5400913769912291,0.5400913769912291,0.6575931232091691,0.618320110693554,0.6501547987616099,threshold,0,0.5,0.6,True,3.01426421248817,-0.017283894797442856,1.614601238682988,0.025362644449936855,-0.022311148805666425,5,transformer,with_fundamentals,54
2025-11-17,2026-01-15,2026-03-16,120,40,40,1780,1040,900,12,0.5895536816430941,0.5895536816430941,0.6502775574940524,0.6205840197028424,0.6014434643143545,topk,2,0.5,0.5,True,3.232770273952301,-0.0284377115118174,2.904821437297566,0.07463136555216465,-0.03537965461256376,6,transformer,with_fundamentals,54
2025-06-26,2025-08-22,2025-10-20,120,40,40,2722,540,400,12,0.6581477037829399,0.6581477037829399,0.7076461769115442,0.5565174181399728,0.5921052631578947,threshold,0,0.5,0.56,True,7.3328817855843935,-0.0009999999999998899,5.162182503915156,0.09292781207560519,-0.0012963140580698473,1,lstm,no_fundamentals,48
2025-07-25,2025-09-22,2025-11-17,120,40,40,2562,740,400,12,0.6001990049751244,0.6001990049751244,0.6848780487804879,0.5723393084827121,0.6570915619389587,topk,2,0.5,0.5,True,5.977295515287544,-0.012139699688680006,1.3134616397197136,0.041155382884561886,-0.048411721263432184,2,lstm,no_fundamentals,48
2025-08-22,2025-10-20,2025-12-16,120,40,40,2380,940,400,12,0.5555086611861421,0.5555086611861421,0.6843335931410756,0.528225,0.5967078189300411,topk,1,0.5,0.5,True,2.7287914994459768,-0.06837412317053171,3.6644059170739944,0.12482474758142881,-0.02613231515326986,3,lstm,no_fundamentals,48
2025-09-22,2025-11-17,2026-01-15,120,40,40,2180,1040,500,10,0.5679739385673624,0.5679739385673624,0.6814516129032258,0.6117217875486007,0.6574074074074074,threshold,0,0.5,0.58,True,3.1590706031091877,-0.020433496270689244,3.980805544474721,0.08633621111095513,-0.015179773279679232,4,lstm,no_fundamentals,48
2025-10-20,2025-12-16,2026-02-13,120,40,40,1980,1040,700,12,0.5330917364222165,0.5330917364222165,0.6382022471910113,0.6174604344230754,0.6162162162162163,threshold,0,0.5,0.6,True,1.9683661782326023,-0.017283894797443078,0.08596650338392288,0.0006779888391608146,-0.030316269255234007,5,lstm,no_fundamentals,48
2025-11-17,2026-01-15,2026-03-16,120,40,40,1780,1040,900,12,0.6110181591040913,0.6110181591040913,0.6761678543151227,0.5694646317829457,0.6150081566068516,topk,1,0.5,0.5,True,4.97741720954932,-0.0610157879589005,-3.541477784842368,-0.2557672803151856,-0.2810735699139695,6,lstm,no_fundamentals,48
2025-06-26,2025-08-22,2025-10-20,120,40,40,2722,540,400,12,0.6317668656673268,0.6317668656673268,0.7070422535211267,0.5413484674129093,0.65,threshold,0,0.5,0.52,True,8.975569407392811,-0.001508881696388964,3.9162835830618294,0.0846045523044816,-0.02196651141321182,1,lstm,with_fundamentals,54
2025-07-25,2025-09-22,2025-11-17,120,40,40,2562,740,400,12,0.5649014188317671,0.5649014188317671,0.5885286783042394,0.45901147528688213,0.4438202247191011,threshold,0,0.5,0.52,True,3.3189411722521216,-0.029315064169797456,-0.3741479052944287,-0.013752331293023667,-0.059809311839753576,2,lstm,with_fundamentals,54
2025-08-22,2025-10-20,2025-12-16,120,40,40,2380,940,400,12,0.5863962492660012,0.5863962492660012,0.6666666666666666,0.58185,0.6043478260869565,topk,2,0.5,0.5,True,3.658467380051429,-0.048167506260524795,1.039915522135958,0.03635719309337926,-0.048167506260524795,3,lstm,with_fundamentals,54
2025-09-22,2025-11-17,2026-01-15,120,40,40,2180,1040,500,12,0.5146465844402277,0.5146465844402277,0.6724386724386724,0.5669370709931358,0.6427350427350428,threshold,0,0.5,0.54,True,3.241667326568525,-0.020433496270689244,4.7848501719407315,0.08565869213230837,-0.006143762418680532,4,lstm,with_fundamentals,54
2025-10-20,2025-12-16,2026-02-13,120,40,40,1980,1040,700,12,0.5620314891188752,0.5620314891188752,0.6703296703296703,0.5768345900981668,0.6554621848739496,topk,2,0.5,0.5,True,2.8127029623810933,-0.029333458973052062,2.736106684925929,0.07468008971616236,-0.019134360099524184,5,lstm,with_fundamentals,54
2025-11-17,2026-01-15,2026-03-16,120,40,40,1780,1040,900,12,0.6868669968321957,0.6868669968321957,0.6957250628667225,0.5906966650516796,0.600739371534196,threshold,0,0.5,0.58,True,4.7229389315139425,-0.02745369001342024,-0.569109403361219,-0.00795253783581229,-0.020237962055103198,6,lstm,with_fundamentals,54
