fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
1,False,2010-03-31,2015-04-01,2015-04-02,2015-09-30,2015-10-01,2016-04-01,12001,1260,1260,11711,1260,1260,3,0.5673308956560794,5,5.850546476275813,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5543668848057935,0.7044619422572179,0.44528819595398444,0.7069963177275118,0.2172304574587851,2.7137469200783975,-0.04394399131236648,1.0,0.06559241572728913,0.636636869936327,-0.1806313977141607,0.9230769230769231,0.18586512624333418,2.3915385946637446,-0.04394399131236637,0.9615384615384616,-0.050388615839650486,-0.44752695163037154,-0.1682038854643988,0.8846153846153846
2,False,2010-03-31,2015-09-30,2015-10-01,2016-04-01,2016-04-04,2016-09-29,13261,1260,1260,12971,1260,1260,2,0.5272420085856128,3,5.255568644495904,topk,3,0.56,0.5,True,topk,2,0.6,0.5,False,0.5125308813920251,0.7293506493506494,0.536039501039501,0.7374245472837023,0.26105221556697455,2.3815119003531287,-0.11915581318630741,1.051282051282051,0.07433666274182027,0.9678635355903118,-0.07810655556295354,0.8076923076923077,0.11205633446289665,1.1157977616325419,-0.10258453944212809,0.8076923076923077,0.16610159125228918,2.067035082404791,-0.0427017220442788,1.0384615384615385
3,False,2010-03-31,2016-04-01,2016-04-04,2016-09-29,2016-09-30,2017-03-31,14521,1260,1260,14231,1260,1260,4,0.5471491683991684,2,8.451479839771995,topk,2,0.58,0.5,True,topk,2,0.6,0.5,False,0.5336954261954262,0.7347145022738757,0.48802308045374077,0.7283950617283951,0.3265143038423812,3.9161675339230344,-0.026395059539751742,1.1153846153846154,0.11676748684534899,1.5506360167580773,-0.06321802271558163,1.1153846153846154,0.31591668326960476,3.7876277329965253,-0.026395059539751742,1.1153846153846154,0.06732314888167101,0.9340977079293424,-0.0721935896751088,0.9230769230769231
4,False,2010-03-31,2016-09-29,2016-09-30,2017-03-31,2017-04-03,2017-09-29,15781,1260,1260,15491,1260,1260,1,0.47585076388433545,3,7.4409989827367955,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.46915480952068717,0.7123436650353454,0.5387390242292203,0.7306079664570231,0.2821564704444526,3.4691217466569357,-0.04370381616594943,1.1923076923076923,0.03383808283237699,0.520537193215153,-0.055772506730004445,0.8846153846153846,0.13764363463696005,1.6503751132359714,-0.043703816165949316,0.6538461538461539,0.1112520513206221,1.8090116627303336,-0.041817818242380955,0.7307692307692307
5,False,2010-03-31,2017-03-31,2017-04-03,2017-09-29,2017-10-02,2018-04-03,17041,1260,1260,16751,1260,1260,5,0.5273466693074537,4,8.792376885067958,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.514367201426025,0.6823266219239373,0.5165331993735409,0.7138934651290502,0.2688256735325558,4.1438360995924,-0.020808420632403846,1.0769230769230769,0.31758749166510536,2.0934395170957174,-0.10609413597492645,0.9102564102564104,0.035560505136358556,1.0521970412232673,-0.026059220904477765,0.38461538461538464,-0.016546593809262045,-0.10507768724759252,-0.10480960533954153,0.4230769230769231
6,False,2010-03-31,2017-09-29,2017-10-02,2018-04-03,2018-04-04,2018-10-01,18301,1260,1260,18011,1260,1260,4,0.5524632573183148,1,7.481479291390069,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5355284472036341,0.7573011077542801,0.6062769024472008,0.7660847880299253,0.414239029720723,3.3528287908430876,-0.05003451668846992,1.2435897435897434,0.1482958864391446,2.295507617483071,-0.04739599452947907,1.1153846153846154,0.24567019089740372,2.2479137610748063,-0.04904540144120828,0.7307692307692307,0.12607898813243912,2.22128622793147,-0.0260540209192488,0.8461538461538461
7,False,2010-03-31,2018-04-03,2018-04-04,2018-10-01,2018-10-02,2019-04-03,19561,1260,1260,19271,1260,1260,1,0.5640710693932283,2,5.628659603241678,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5534991619175327,0.7650872817955111,0.5387080648885664,0.7041357370095441,0.21004690997764186,2.604326265634275,-0.05540866405755729,0.9230769230769231,-0.0007275558692247941,0.10412857518076925,-0.12498807097599729,0.9230769230769231,0.11228376087447911,1.3256388797208971,-0.08393908221138358,1.0,-0.00810624878661137,0.05512465458212001,-0.12498807097599729,0.8846153846153846
8,False,2010-03-31,2018-10-01,2018-10-02,2019-04-03,2019-04-04,2019-10-02,20821,1260,1260,20531,1260,1260,3,0.5629905275685058,2,1.2756907799694395,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5508956053297335,0.6918635170603675,0.5180140630890722,0.6947477899115966,0.06395699303660018,0.5790649078203643,-0.15117859409561962,0.9871794871794871,0.03235713091151049,0.38449534787836953,-0.10221725774348711,0.8333333333333334,-0.03472617833186453,-0.17971634590253724,-0.18750443688749885,1.2307692307692308,0.034910628418483025,0.38000778652644523,-0.12651197639223577,1.0384615384615385
9,False,2010-03-31,2019-04-03,2019-04-04,2019-10-02,2019-10-03,2020-04-02,22081,1260,1260,21791,1260,1260,4,0.537408373585278,1,1.9774469557329435,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.525053198353318,0.6891747052518755,0.46675858303187495,0.7663645518630412,0.10761228191206995,0.8856718538525448,-0.14633064520662442,0.9358974358974357,0.35245226937232044,1.7027598599887641,-0.21369386545492397,0.9615384615384616,0.026730269328581135,0.3204642519550552,-0.10736112334604009,0.9230769230769231,0.19924760189409296,1.1342650058014838,-0.19815885283661572,1.2692307692307692
10,False,2010-03-31,2019-10-02,2019-10-03,2020-04-02,2020-04-03,2020-10-01,23341,1260,1260,23051,1260,1260,1,0.46078219916729235,1,4.58287282357402,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.46078219916729235,0.775609756097561,0.48615248105931336,0.757700205338809,0.37459392371720823,1.9573216362508137,-0.22669754327782232,1.3076923076923077,0.452130804160255,3.2836205103421796,-0.06120303765087065,1.1153846153846154,0.28440510898400206,1.6100836890119707,-0.22669754327782232,1.2307692307692308,0.25398420792130416,2.6586393625215754,-0.06120303765087054,0.9230769230769231
11,False,2010-03-31,2020-04-02,2020-04-03,2020-10-01,2020-10-02,2021-04-05,24601,1260,1260,24311,1260,1260,3,0.5121179441676336,1,8.957678427979387,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.506081496143608,0.7549872122762148,0.5648058797700375,0.7142857142857142,0.6247718893132044,3.866768676120077,-0.08888783400410671,1.012820512820513,0.2081536683326537,1.5621253645197257,-0.07610932850754437,0.9615384615384615,0.4895257788747214,2.895029707929852,-0.06455919949471212,0.9615384615384616,0.13576399318233223,1.04599376113404,-0.106439570558721,0.9615384615384616
12,False,2010-03-31,2020-10-01,2020-10-02,2021-04-05,2021-04-06,2021-10-01,25861,1260,1260,25571,1260,1260,3,0.5570260086389118,3,4.099721787215037,topk,3,0.6,0.5,True,topk,2,0.6,0.5,False,0.5570260086389118,0.7035490605427973,0.4889151648104686,0.7195059186824498,0.21588661119363461,1.8412691082570969,-0.08277764106266161,1.0256410256410258,0.09857089485858572,1.33995894252934,-0.0547020419050569,1.0256410256410255,0.1559855105397494,1.2613256340426613,-0.10702215779634738,1.2307692307692308,0.08826728254781857,1.1291708918523256,-0.11210963764936166,1.1538461538461537
13,False,2010-03-31,2021-04-05,2021-04-06,2021-10-01,2021-10-04,2022-04-01,27121,1260,1260,26831,1260,1260,1,0.5090315677105812,6,3.7084345263166756,topk,2,0.6,0.5,True,topk,2,0.6,0.5,True,0.4824386892798496,0.6937639198218264,0.5334702620967742,0.6453089244851259,0.14507162597404522,1.7180715702550806,-0.07964015792646573,0.9230769230769231,0.03741644130034838,0.3831826661585825,-0.22433230741820687,0.9230769230769231,0.14507162597404522,1.7180715702550806,-0.07964015792646573,0.9230769230769231,0.03741644130034838,0.3831826661585825,-0.22433230741820687,0.9230769230769231
14,False,2010-03-31,2021-10-01,2021-10-04,2022-04-01,2022-04-04,2022-10-03,28381,1260,1260,28091,1260,1260,4,0.5207434475806452,2,0.7328913605524964,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5048689516129032,0.6524356869184454,0.6195059985885674,0.6002239641657335,0.02978966330552968,0.3360473980191056,-0.22649686265101088,0.8333333333333333,-0.18084664581763354,-0.9593338956082634,-0.18084664581763354,0.7564102564102563,-0.06792278776429783,-0.2968827495166647,-0.24542528246644701,0.8076923076923077,-0.10640919806575244,-0.3967202333255204,-0.1680513339777827,1.0384615384615385
15,False,2010-03-31,2022-04-01,2022-04-04,2022-10-03,2022-10-04,2023-04-04,29641,1260,1260,29351,1260,1260,4,0.6136960287419003,2,0.29503469876652644,topk,3,0.6,0.5,True,topk,2,0.6,0.5,False,0.5859780586386091,0.5906432748538012,0.5076556616798842,0.6473779385171791,0.0016203509602279453,0.14572666417013225,-0.1101281057689053,0.9743589743589745,0.2514572433705282,2.3343067216278053,-0.02676489604170984,0.41025641025641024,-0.021892628727676278,-0.03264932101493024,-0.11926316691672689,1.0,0.2373734009347772,1.9903049775877513,-0.04581137016467618,0.4230769230769231
16,False,2010-03-31,2022-10-03,2022-10-04,2023-04-04,2023-04-05,2023-10-04,30901,1260,1260,30611,1260,1260,1,0.5144867880802393,3,3.7679888232144028,topk,2,0.56,0.5,True,topk,2,0.6,0.5,False,0.503283947240065,0.3916211293260473,0.5196990410015521,0.11868686868686867,0.2380135707172184,1.6119165013311285,-0.06783046032481921,0.38461538461538464,0.0,0.0,0.0,0.0,0.15445404347064962,1.3829551448349662,-0.0010000000000000009,0.07692307692307693,0.0,0.0,0.0,0.0
17,False,2010-03-31,2023-04-04,2023-04-05,2023-10-04,2023-10-05,2024-04-05,32161,1260,1260,31871,1260,1260,1,0.561178550504168,1,6.5152350917659305,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.561178550504168,0.6470211402946829,0.51584229390681,0.626537216828479,0.3952741668877837,2.88642682941293,-0.12739743812338755,1.2564102564102566,0.04994355917301907,0.6069160697302112,-0.07915457966157313,1.1282051282051282,0.07657619523914061,1.3735358874970147,-0.0010000000000000009,0.07692307692307693,-0.053569428143212194,-1.8990735161477081,-0.053569428143212194,0.15384615384615385
18,False,2010-03-31,2023-10-04,2023-10-05,2024-04-05,2024-04-08,2024-10-04,33421,1260,1260,33131,1260,1260,4,0.5369256779603706,2,5.430444953376728,topk,3,0.58,0.5,True,topk,2,0.6,0.5,False,0.5291431662947184,0.7012987012987013,0.5243546639960759,0.6612244897959184,0.156048072330226,2.534377662417452,-0.03897453000661666,0.5512820512820513,0.15691491293873105,1.6301088206149816,-0.04432241508738988,0.8717948717948717,0.0757928000303747,1.8260541090341278,-0.0010000000000000009,0.15384615384615385,0.19280128601388724,2.152774961276603,-0.043847818625899926,0.5769230769230769
19,False,2010-03-31,2024-04-05,2024-04-08,2024-10-04,2024-10-07,2025-04-08,34681,1260,1260,34391,1260,1260,2,0.5288408477763243,3,9.209052371151236,topk,3,0.58,0.5,True,topk,2,0.6,0.5,False,0.51819254823414,0.6916087653661144,0.4673605571383349,0.6511627906976745,0.37823074360430464,4.247098296518969,-0.026595558795890706,1.141025641025641,0.0001752775644512372,0.1340006125180051,-0.21631680977235768,0.8205128205128206,0.2814782823833386,2.8144822572586277,-0.005930448499849139,0.6923076923076923,-0.16132066312172877,-2.003929318660139,-0.2156198314703217,0.4230769230769231
20,False,2010-03-31,2024-10-04,2024-10-07,2025-04-08,2025-04-09,2025-10-08,35941,1260,1260,35651,1260,1260,1,0.5219044001266223,3,3.437285865180074,topk,2,0.56,0.5,True,topk,2,0.6,0.5,False,0.49713200379867045,0.6899182561307902,0.52671799012235,0.7527329515877147,0.19768837748341594,1.5280438238625564,-0.15424592530298653,0.9230769230769231,-0.1729036829588788,-0.5509500399709346,-0.3022365773699005,1.0384615384615385,0.08324241469965687,0.7365035557687638,-0.17578087480229965,0.8846153846153846,-0.18101168744365426,-0.5700519494790722,-0.3546988349252036,0.7692307692307693
21,True,2010-03-31,2025-04-08,2025-04-09,2025-10-08,2025-10-09,2026-04-02,37201,1260,1210,36911,1260,1210,2,0.5187372917741155,1,1.6107183952536643,topk,3,0.56,0.5,True,topk,2,0.6,0.5,False,0.5017106318401646,0.7395498392282959,0.5726277511857146,0.6689694876223373,0.09350651290828216,0.723177317276991,-0.18829095178328137,0.9871794871794871,0.3046385120111039,2.44510410935688,-0.07599761799668137,0.9466666666666668,-0.19732122318588674,-0.6989019699959095,-0.3160005614360779,0.6923076923076923,0.15206885316265617,1.424239530306238,-0.07043516710696174,0.8
