split,feature,feature_group,cross_sectional_eligible,missing_rate,std,cs_ic_mean,cs_ic_std,cs_ic_ir,cs_ic_hit_rate,cs_ic_n_dates,cs_ic_eligible_dates,cs_ic_skipped_constant_dates,global_auc,global_auc_edge,global_auc_direction,spearman_with_return,pearson_with_return,top_bottom_spread,top_bottom_direction,ts_spearman_with_mean_return,ts_pearson_with_mean_return,ts_spearman_with_median_return,ts_auc_vs_date_positive_rate,ts_auc_edge_vs_date_positive_rate,ts_n_dates,train_cs_ic_mean_ref,train_auc_edge_ref,train_top_bottom_spread_ref,train_ts_spearman_ref,train_ts_auc_edge_ref,generalization_ic_gap,generalization_auc_gap,generalization_spread_gap,generalization_ts_gap,train_rank_score,val_cs_ic_mean,val_auc_edge,val_top_bottom_spread,val_ts_spearman,val_ts_auc_edge,test_cs_ic_mean,test_auc_edge,test_top_bottom_spread,test_ts_spearman,test_ts_auc_edge,stability_score,overall_signal_score
train,rate_change_5d,macro_proxy,False,0.0,0.06112698021347965,,,,,0,0,0,0.4858879946024867,0.014112005397513283,-1.0,-0.0321715541947449,-0.0003651143537788319,-0.0027759665964853892,-1.0,-0.044805151264657055,-0.0006318148698026112,-0.055304426658567135,0.4811302110522783,0.018869788947721677,2961,,0.014112005397513283,-0.0027759665964853892,-0.044805151264657055,0.018869788947721677,,0.0,0.0,0.0,0.20432658588415942,,0.05600219743112883,-0.012694662973207236,-0.14029238733688007,0.062238744056925865,,0.030823861986273182,-0.007054257559567727,-0.1190752094063342,0.08324249827726615,0.4758774545322234,0.6802040404163828
train,interest_rate,macro_proxy,False,0.0,0.6712932463963991,,,,,0,0,0,0.4792966666709423,0.020703333329057716,-1.0,-0.052975827374398286,-0.06505002743702597,-0.007387465684550215,-1.0,-0.09021662933940537,-0.10072487164027055,-0.06999772493661593,0.4779280706987844,0.022071929301215598,2961,,0.020703333329057716,-0.007387465684550215,-0.09021662933940537,0.022071929301215598,,0.0,0.0,0.0,0.36776957399504556,,0.0641370414237512,0.007854823523876247,0.1274784553661922,0.07517789335971159,,0.007048268136221725,-0.005781239121255438,-0.008969831169774598,0.0010837561861805067,0.27585773936392316,0.6436273133589687
train,atr_14,technical,True,0.0,9.445964322357002,-0.03906849651530503,0.4265837549475888,-0.09158458582208572,0.44782168186423504,2961,2961,0,0.4985177963745505,0.0014822036254494853,-1.0,-0.035457195586348085,-0.03689781682056311,-0.004049731129448477,-1.0,,,,,,0,-0.03906849651530503,0.0014822036254494853,-0.004049731129448477,,,0.0,0.0,0.0,,0.3501553344231043,-0.03177886650940542,0.02939615730946432,-0.008798738260214831,,,-0.07582159624413144,0.026691180295759565,-0.011209499044587514,,,0.2712882631122976,0.6214435975354019
train,close,other,True,0.0,72.4999962560753,-0.02899716516737793,0.38532222475931743,-0.0752543282067115,0.4545761567038163,2961,2961,0,0.5053231033462647,0.005323103346264735,1.0,-0.015867629440013225,-0.022000426503082034,-0.003032680727494402,-1.0,,,,,,0,-0.02899716516737793,0.005323103346264735,-0.003032680727494402,,,0.0,0.0,0.0,,0.329474801637813,-0.019851206677553974,0.013871683708056304,-0.010352854947140938,,,-0.09609475032010242,0.03742659421925848,-0.011656798644449403,,,0.28319019192262757,0.6126649935604406
train,low,other,True,0.0,76.07189090786736,-0.030437608097182565,0.39171330856033326,-0.07770378854129344,0.4518743667679838,2961,2961,0,0.5038703794743682,0.0038703794743681907,1.0,-0.020416105914587757,-0.025221361691060974,-0.004157843730075789,-1.0,,,,,,0,-0.030437608097182565,0.0038703794743681907,-0.004157843730075789,,,0.0,0.0,0.0,,0.33122753221938966,-0.01766120450293516,0.013808050297893892,-0.01058105654860208,,,-0.09683176546659977,0.03689784784125005,-0.011501477611850303,,,0.2796918380782138,0.6109193702976035
train,high,other,True,0.0,77.61446873853811,-0.030417139991608076,0.391060977527493,-0.07778106673778168,0.4508611955420466,2961,2961,0,0.5038522179055539,0.0038522179055539008,1.0,-0.02005643551419524,-0.024824379093088392,-0.003919566615280659,-1.0,,,,,,0,-0.030417139991608076,0.0038522179055539008,-0.003919566615280659,,,0.0,0.0,0.0,,0.33026580347987633,-0.01788049748275767,0.013944510387274844,-0.010360078626945539,,,-0.09551856594110116,0.037117048727750956,-0.011419384713419588,,,0.27785968596274346,0.6081254894426198
train,open,other,True,0.0,76.8423292917837,-0.030135890463729827,0.391633988645933,-0.07694911917099966,0.45288753799392095,2961,2961,0,0.5039379873475764,0.003937987347576444,1.0,-0.02001435473107494,-0.024734618067476535,-0.0041021032577313625,-1.0,,,,,,0,-0.030135890463729827,0.003937987347576444,-0.0041021032577313625,,,0.0,0.0,0.0,,0.3308805699698999,-0.017652605869557667,0.013578778161781047,-0.010025162016646608,,,-0.09513863310896606,0.037005933070999364,-0.011289034121603286,,,0.27616718918982786,0.6070477591597278
train,macd_hist,technical,True,0.0,0.5327115696739018,-0.031031694861482093,0.3605475183425173,-0.08606825254029964,0.4576156703816278,2961,2961,0,0.4804308707334355,0.01956912926656451,-1.0,-0.0465669898037966,-0.035365424150447605,-0.0031003358428667643,-1.0,,,,,,0,-0.031031694861482093,0.01956912926656451,-0.0031003358428667643,,,0.0,0.0,0.0,,0.3656916820726893,-0.038214480130647786,0.014738808833724304,-0.008944118540507421,,,-0.05093896713615023,0.015043544710667434,-0.0060825913217744144,,,0.2080892480779878,0.5737809301506771
train,volatility_20d,technical,True,0.0,0.009016924028194817,0.02661160746267129,0.3840426102966468,0.06929337200920395,0.5157041540020263,2961,2961,0,0.5041007879808156,0.00410078798081559,1.0,0.04686784976019328,0.04965171331476221,0.003009649057422522,1.0,,,,,,0,0.02661160746267129,0.00410078798081559,0.003009649057422522,,,0.0,0.0,0.0,,0.35040294893679197,0.026141656081775842,0.005671687417340532,-0.0006237357877036155,,,0.07059325650874945,0.012526270014076357,0.007781339721190075,,,0.2116677826124675,0.5620707315492595
train,volume,other,True,0.0,200687670.57543796,0.026988732307881243,0.42390576265195845,0.06366682099115492,0.5349544072948328,2961,2961,0,0.49445009568202436,0.00554990431797564,-1.0,0.027115612674061065,0.018162516075192668,0.003189135819833151,1.0,,,,,,0,0.026988732307881243,0.00554990431797564,0.003189135819833151,,,0.0,0.0,0.0,,0.3643269129367611,0.01963346035202321,0.004704635454105932,0.0042435105209956405,,,0.06688006828851899,0.011976121245364069,0.01020900408230199,,,0.1897078139805544,0.5540347269173155
train,mkt_volatility_20d,benchmark_market,False,0.0,0.006018851007916533,,,,,0,0,0,0.5076275722427173,0.007627572242717262,1.0,0.0395865735096259,0.05150151234703954,0.0015131168972263255,1.0,0.06210260643507299,0.07560459713273489,0.07686049638753026,0.5141570027593407,0.014157002759340731,2961,,0.007627572242717262,0.0015131168972263255,0.06210260643507299,0.014157002759340731,,0.0,0.0,0.0,0.2542083983335263,,0.019430573711151644,-0.005399570124227889,-0.06913710427750078,0.0028558664922301302,,0.034425650746318426,0.006885123962252866,0.08777471180005897,0.044885046670425366,0.28922394857380973,0.5434323469073361
train,macd_hist_pct,technical,True,0.0,0.005657822426126495,-0.03456602499155691,0.3808954340274141,-0.09074938133563737,0.46437014522120906,2961,2961,0,0.47947298159087415,0.020527018409125852,-1.0,-0.04892356323589355,-0.04127745683405964,-0.004197420622052366,-1.0,,,,,,0,-0.03456602499155691,0.020527018409125852,-0.004197420622052366,,,0.0,0.0,0.0,,0.3832333153366055,-0.02747232807113047,0.008591309786626644,-0.005061891123525228,,,-0.04291506615450276,0.009394576242765462,-0.004367314614549538,,,0.15876067448065856,0.5419939898172641
train,macd_hist_pct_cs_z,cross_sectional,True,0.0,0.9438429803927186,-0.03456602499155691,0.3808954340274141,-0.09074938133563737,0.46437014522120906,2961,2961,0,0.48871411059250713,0.011285889407492866,-1.0,-0.024237658354362594,-0.02513589861340242,-0.0020802948247529056,-1.0,,,,,,0,-0.03456602499155691,0.011285889407492866,-0.0020802948247529056,,,0.0,0.0,0.0,,0.3615753686373903,-0.02747232807113047,0.0173767174625426,-0.0038967514242051462,,,-0.04291506615450276,0.0038280606428848785,-0.0016600060124643792,,,0.16197956655669393,0.5235549351940842
train,mkt_return_5d,benchmark_market,False,0.0,0.021904283307796885,,,,,0,0,0,0.48036448237702034,0.01963551762297966,-1.0,-0.05243897431518716,-0.05008813606949181,-0.006116641597616785,-1.0,-0.07385036951918204,-0.07776358970934097,-0.07839789733975988,0.47999408046834213,0.020005919531657868,2961,,0.01963551762297966,-0.006116641597616785,-0.07385036951918204,0.020005919531657868,,0.0,0.0,0.0,0.31400192193604903,,0.009364343802041875,-0.007433678746336019,-0.061586182217238834,0.016704425795334876,,0.0075015695086516065,-0.0017595041898861479,-0.061366834083980554,0.0076489381695170056,0.20129543776252257,0.5152973596985716
train,hl_spread,technical,True,0.0,0.01440243256735849,0.004567969461586479,0.3615706402110095,0.012633684689997648,0.5042215467747383,2961,2961,0,0.4907629133807248,0.009237086619275192,-1.0,0.024476588518537016,0.03371522303012708,0.0027404165768994864,1.0,,,,,,0,0.004567969461586479,0.009237086619275192,0.0027404165768994864,,,0.0,0.0,0.0,,0.2883994798760282,0.04293231718381419,0.014600510090532093,0.004540161344778339,,,0.057063593683311986,0.004995532645527434,0.00400086883757159,,,0.21958786447031187,0.5079873443463401
